name,status,ms,synonym,related,positive,negative,summary
نماد پسهندح,A,1,"پسهندح,ح. صنایع‌ لاستیکی‌ سهند",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پشاهن,A,1,"پشاهن,پلاستیک‌ شاهین‌",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پشاهنح,A,1,"پشاهنح,ح. پلاستیک‌ شاهین‌",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پکرمان,A,1,"پکرمان,گروه‌ صنعتی‌ بارز",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پکرمانح,A,1,"پکرمانح,ح. گروه‌ صنعتی‌ بارز",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پکویر,A,1,"پکویر,کویر تایر",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پکویرح,A,1,"پکویرح,ح. کویر تایر",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پکیان,A,1,"پکیان,لاستیک‌البرز",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پکیانح,A,1,"پکیانح,ح. لاستیک‌البرز",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پلاست,A,1,"پلاست,پلاستیران‌",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پلاستح,A,1,"پلاستح,ح. پلاستیران‌",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
نماد پلاسک,A,1,"پلاسک,پلاسکوکار",صنعت پلیمر و پلاستیک,"بورس,سهام,شاخص,قرارداد",,لاستیک و پلاستیک
